Utterance
Info about promo 
I wanna know the latest promotions
i want to see promotions
I wanna see promotions
tell me the deals
what offer do you have
do you offer discount
Enrich point promo
promotion for vacation
Big point promo
know about spa promotion
know about fashion promotion
info about dining promotion
any promotion for restaurant
any promotion for buffet
Black Friday promotion
promotion for card points
promotion for cashback
affin reward points
any 1-1 sale
any 2-2 sale
any 3-3 sale
any 4-4 sale
any 5-5 sale
any 6-6 sale
any 7-7 sale
any 8-8 sale
any 9-9 sale
any 10-10 sale
any 11-11 sale
any 12-12 sale
Chinese New Year
any Ramadhan promo
any Hari Raya promo
any Deepavali promo
any Diwali promo
any Christmas promo
any New Year promo
Hari Raya Puasa
nak tau promosi
ada promosi apa
ada diskaun tak
ada apa offer
nak tau promosi terkini
ada promo apa
nak tahu promo produk
apa promosi best
nak tanya promosi kad
promosi terbaru
promosi berkaitan produk
nak tahu diskaun terbaru
offer yang best
ada promo bercuti tak
ada promo Zalora
ada promo Shopee
ada promo MyDebit
ada promo Lazada
