Utterance,Intents
nak tutup akaun ,"deposits: 0.171
"
menabung untuk pendidikan ,"deposits: 0.98
"
menabung untuk hari tua ,"deposits: 0.915
"
boleh buka akaun online tak ,"deposits: 0.546
"
akaun apa yang tinggi interest ,"deposits: 0.778
"
boleh bukak akaun online ,"deposits: 0.879
"
akaun untuk dewasa ,"deposits: 0.883
"
akaun untuk anak ,"deposits: 0.866
"
nak buka akaun ,"deposits: 0.455
"
nak menabung,"deposits: 0.583
"
I want to know about deposit account ,"deposits: 0.762
"
how can i know about Interest Rates ,"deposits: 0.879
"
I want to know about Interest Rates ,"deposits: 0.99
"
what is the interest rate for junior account ,"deposits: 0.841
"
What is your FD rate ,"fd-rates-promotion_dsqbmv: 0.724
"
how to open affin account ,"open-a-basic-savings-account: 0.767
deposits: 0.613
"
need to know about current account ,"deposits: 0.999
"
can u pls give information about current account ,"deposits: 0.992
"
how can i get to know about savings account ,"deposits: 0.897
"
need to know about Fixed Deposit,"deposits: 0.864
"
can u pls give information about Fixed Deposit ,"deposits: 0.732
"
need to know about Foreign Currency ,"deposits: 0.967
"
need information about Foreign Currency ,"deposits: 0.895
"
what kinds of savings account do you offer ,"deposits: 0.626
"
need to know about savings account ,"deposits: 0.996
"
can i open FD online ,"deposits: 0.785
"
what is the minimum amount for FD placement ,"deposits: 0.774
"
how to open account ,"open-a-basic-savings-account: 0.395
deposits: 0.928
"
I wanna open account ,"deposits: 0.991
"
