Utterance,Intents
tell me about great services ,"Products and Services: 0.988
"
i want to know about exciting products ,"Products and Services: 0.975
"
What is A1addin ,"Products and Services: 0.714
"
boleh tak nak buat pinjaman ,"Products and Services: 0.301
"
nak beli rumah ,"Products and Services: 0.822
"
which card is good for travel ,"card: 0.985
"
nak buat joint loan ,"Products and Services: 0.81
"
details about business loan ,"Products and Services: 0.918
"
can i know about auto loan ,"Products and Services: 0.95
"
do you offer education loan,"Products and Services: 0.943
"
recommend me your products please ,"Products and Services: 0.976
"
savings account ,"Products and Services: 0.551
deposits: 0.753
"
Loans and Financing ,"Products and Services: 0.934
"
how can i know about Loans and Financing ,"Products and Services: 0.98
"
i want to know about loans and financing ,"Products and Services: 0.968
"
how can i know about Deposit Services ,"Products and Services: 0.886
"
i would like to know about Deposit Services ,"Products and Services: 0.917
deposits: 0.298
"
can u tell me about Deposit Services ,"Products and Services: 0.898
"
i like to see the products and services ,"Products and Services: 0.997
"
can i see the Products & Services,"Products and Services: 0.976
"
how can i know about the services ,"Products and Services: 0.959
"
i want to see avail services of affin ,"Products and Services: 0.888
"
show me the products available ,"Products and Services: 0.978
"
what services do you provide ,"Products and Services: 0.985
"
what are the products available in affin ,"Products and Services: 0.956
"
