Utterance,Intents
How old are you?,"how-old-are-you: 0.995
"
What is your date of birth?,"how-old-are-you: 0.985
"
Are you old?,"how-old-are-you: 0.977
"
Are you young?,"how-old-are-you: 0.999
"
Are you older than me?,"how-old-are-you: 0.998
"
Are you younger than me?,"how-old-are-you: 1
"
Are you youth young?,"how-old-are-you: 0.995
"
Are youy ugly?,"how-old-are-you: 0.989
"
Are you pretty?,"how-old-are-you: 0.992
"
Berapa umur awak?,"how-old-are-you: 0.993
"
Bila hari lahir awak?,"how-old-are-you: 0.989
"
Awak dah tua ke?,"how-old-are-you: 0.982
"
Awak muda ke?,"how-old-are-you: 0.999
"
Awak lagi tua dari saya ke?,"how-old-are-you: 0.991
"
Awak lagi muda dari saya ke?,"how-old-are-you: 0.999
"
Awak ni muda remaja ke?,"how-old-are-you: 0.989
"
Awak hodoh ke?,"how-old-are-you: 0.769
"
Awak cantik tak?,"how-old-are-you: 0.977
"
Ask me something,"ask-me-something: 0.973
"
Tanya saya sesuatu.,"ask-me-something: 0.993
"
Lets have a chat,"lets-have-a-chat: 0.991
"
Jom borak.,"lets-have-a-chat: 0.979
"
You are boring,"you-are-boring: 1
"
You are not attractive,"you-are-boring: 1
"
Boring,"you-are-boring: 0.999
"
Awak ni membosankan.,"you-are-boring: 1
"
Awak tak menarik.,"you-are-boring: 0.977
"
Bosannya.,"you-are-boring: 0.995
"
What color you like?,"what-color-you-like: 0.999
"
What sport you like?,"do-you-like-sport: 0.884
"
What animal you like?,"what-color-you-like: 0.999
"
What car you like?,"what-color-you-like: 0.998
"
What food you like?,"what-color-you-like: 0.942
"
What drink you like?,"what-color-you-like: 0.984
"
What movie you like?,"what-color-you-like: 0.959
"
Do you like me?,"what-color-you-like: 0.989
"
Who do you like?,"what-color-you-like: 0.981
"
Awak suka warna apa?,"what-color-you-like: 0.998
"
Awak suka sukan apa?,"what-color-you-like: 0.962
"
Awak suka binatang apa?,"what-color-you-like: 0.999
"
Awak suka kereta apa?,"what-color-you-like: 0.999
"
Awak suka makanan apa?,"what-color-you-like: 0.979
"
Awak suka minum apa?,"what-color-you-like: 0.976
"
Awak suka movie apa?,"what-color-you-like: 0.941
"
Awak suka saya tak?,"what-color-you-like: 0.852
"
Awak suka siapa?,"what-color-you-like: 0.902
"
Who do you have crush?,"who-do-you-have-crush: 1
"
Who do you like?,"what-color-you-like: 0.981
"
Do you have boyfriend?,"who-do-you-have-crush: 0.996
"
Do you have girlfriend?,"who-do-you-have-crush: 0.998
"
Siapa crush awak?,"who-do-you-have-crush: 0.995
"
Awak suka siapa?,"what-color-you-like: 0.902
"
Awak ada boyfriend tak?,"who-do-you-have-crush: 0.993
"
Awak ada girlfriend tak?,"who-do-you-have-crush: 0.996
"
Where are you from?,"where-are-you-from: 0.992
"
Where do you live?,"where-are-you-from: 0.993
"
Where do you stay?,"where-are-you-from: 0.999
"
Why are you still here?,"where-are-you-from: 0.998
"
Awak dari mana?,"where-are-you-from: 0.993
"
Awak tinggal di mana?,"where-are-you-from: 0.997
"
Awak duduk kat mana?,"where-are-you-from: 0.991
"
Kenapa awak ada di sini?,"where-are-you-from: 0.984
"
Do you have mother?,"do-you-have-mother: 1
"
Do you have father?,"do-you-have-mother: 0.993
"
